ds,trend,Store
2019-04-14,4450.9200259131385,1
2019-04-15,4451.065129110789,1
2019-04-16,4451.210232308439,1
2019-04-17,4451.355335506089,1
2019-04-18,4451.50043870374,1
2019-04-19,4451.64554190139,1
2019-04-20,4451.79064509904,1
2019-04-21,4451.935748296692,1
2019-04-22,4452.080851494342,1
2019-04-23,4452.225954691992,1
2019-04-24,4452.3710578896425,1
2019-04-25,4452.516161087293,1
2019-04-26,4452.661264284943,1
2019-04-27,4452.8063674825935,1
2019-04-28,4452.951470680244,1
2019-04-29,4453.096573877894,1
2019-04-30,4453.241677075544,1
2019-05-01,4453.386780273196,1
2019-05-02,4453.531883470846,1
2019-05-03,4453.676986668496,1
2019-05-04,4453.822089866147,1
2019-05-05,4453.967193063797,1
2019-05-06,4454.112296261447,1
2019-05-07,4454.2573994590975,1
2019-05-08,4454.402502656748,1
2019-05-09,4454.547605854398,1
2019-05-10,4454.6927090520485,1
2019-05-11,4454.837812249699,1
2019-05-12,4454.98291544735,1
2019-05-13,4455.128018645,1
2019-05-14,4455.273121842651,1
2019-05-15,4455.418225040301,1
2019-05-16,4455.563328237951,1
2019-05-17,4455.708431435602,1
2019-05-18,4455.853534633252,1
2019-05-19,4455.998637830902,1
2019-05-20,4456.1437410285525,1
2019-05-21,4456.288844226203,1
2019-05-22,4456.433947423854,1
2019-05-23,4456.579050621504,1
2019-05-24,4456.724153819155,1
2019-05-25,4456.869257016805,1
2019-05-26,4457.014360214455,1
2019-05-27,4457.159463412106,1
2019-05-28,4457.304566609756,1
2019-05-29,4457.449669807406,1
2019-05-30,4457.594773005057,1
2019-05-31,4457.739876202707,1
2019-04-14,5619.965288483514,2
2019-04-15,5620.690922232257,2
2019-04-16,5621.416555981001,2
2019-04-17,5622.142189729744,2
2019-04-18,5622.8678234784875,2
2019-04-19,5623.593457227232,2
2019-04-20,5624.319090975975,2
2019-04-21,5625.044724724718,2
2019-04-22,5625.770358473462,2
2019-04-23,5626.495992222206,2
2019-04-24,5627.221625970949,2
2019-04-25,5627.947259719692,2
2019-04-26,5628.672893468436,2
2019-04-27,5629.398527217179,2
2019-04-28,5630.124160965923,2
2019-04-29,5630.849794714666,2
2019-04-30,5631.57542846341,2
2019-05-01,5632.301062212154,2
2019-05-02,5633.026695960897,2
2019-05-03,5633.75232970964,2
2019-05-04,5634.477963458384,2
2019-05-05,5635.203597207127,2
2019-05-06,5635.929230955871,2
2019-05-07,5636.654864704615,2
2019-05-08,5637.380498453358,2
2019-05-09,5638.106132202101,2
2019-05-10,5638.831765950846,2
2019-05-11,5639.557399699589,2
2019-05-12,5640.283033448332,2
2019-05-13,5641.008667197076,2
2019-05-14,5641.734300945819,2
